DB00006,Coronary Thrombosis
DB00006,Hemorrhage
DB00006,Inflammation
DB00006,Ischemia
DB00006,Thrombocytopenia
DB00006,Thrombosis
DB00006,Embolism and Thrombosis
DB00006,Myocardial Ischemia
DB00006,Carotid Artery Injuries
DB00006,Stroke
DB00006,Diabetes Complications
DB00006,Acute Coronary Syndrome
DB00014,Alzheimer Disease
DB00014,Breast Neoplasms
DB00014,Cognition Disorders
DB00014,Endometriosis
DB00014,Hepatic Encephalopathy
DB00014,Hepatitis
DB00014,Leiomyoma
DB00014,Memory Disorders
DB00014,Prostatic Neoplasms
DB00014,"Sexual Dysfunction, Physiological"
DB00014,Tumor Lysis Syndrome
DB00014,Hot Flashes
DB00035,Blood Coagulation Disorders
DB00035,Cerebral Infarction
DB00035,Coma
DB00035,Cystic Fibrosis
DB00035,Diabetes Insipidus
DB00035,Enuresis
DB00035,"Hematoma, Subdural"
DB00035,Hemorrhagic Disorders
DB00035,Hypertension
DB00035,Hyponatremia
DB00035,Menorrhagia
DB00035,Polyuria
DB00035,Pulmonary Embolism
DB00035,Seizures
DB00035,Tachycardia
DB00035,Thrombocytopenia
DB00035,Vomiting
DB00035,Water Intoxication
DB00035,"Diabetes Insipidus, Nephrogenic"
DB00035,Venous Thrombosis
DB00035,Hypertensive Encephalopathy
DB00035,Stroke
DB00035,Intracranial Thrombosis
DB00035,"Diabetes Insipidus, Neurogenic"
DB00035,Nocturia
DB00035,Nocturnal Enuresis
DB00050,Multiple Myeloma
DB00093,Hypertension
DB00093,Muscular Diseases
DB00093,Necrosis
DB00114,"Anemia, Sideroblastic"
DB00114,"Epilepsy, Tonic-Clonic"
DB00114,Kidney Diseases
DB00114,Seizures
DB00114,Colorectal Neoplasms
DB00114,Vitamin B 6 Deficiency
DB00115,Imerslund-Grasbeck syndrome
DB00115,Agranulocytosis
DB00115,Alzheimer Disease
DB00115,Anaphylaxis
DB00115,Anemia
DB00115,"Anemia, Macrocytic"
DB00115,"Anemia, Megaloblastic"
DB00115,"Anemia, Pernicious"
DB00115,Aphonia
DB00115,Ascites
DB00115,Atrophy
DB00115,Autistic Disorder
DB00115,Blood Platelet Disorders
DB00115,"Brain Damage, Chronic"
DB00115,"Brain Diseases, Metabolic"
DB00115,Bronchial Spasm
DB00115,"Carcinoma 256, Walker"
DB00115,Cataract
DB00115,Celiac Disease
DB00115,Central Nervous System Diseases
DB00115,Cognition Disorders
DB00115,Compartment Syndromes
DB00115,Dementia
DB00115,Demyelinating Diseases
DB00115,Depressive Disorder
DB00115,Drug Eruptions
DB00115,Diabetic Neuropathies
DB00115,Dizziness
DB00115,Drug Hypersensitivity
DB00115,Dyspnea
DB00115,Epilepsy
DB00115,Eye Diseases
DB00115,Fatty Liver
DB00115,"Fatty Liver, Alcoholic"
DB00115,Headache
DB00115,"Heart Defects, Congenital"
DB00115,Heart Diseases
DB00115,Hematologic Diseases
DB00115,Hemolytic-Uremic Syndrome
DB00115,Homocystinuria
DB00115,"Hypotension, Orthostatic"
DB00115,"Liver Cirrhosis, Experimental"
DB00115,Liver Diseases
DB00115,"Liver Neoplasms, Experimental"
DB00115,"Lupus Erythematosus, Systemic"
DB00115,"Metabolism, Inborn Errors"
DB00115,Muscular Atrophy
DB00115,"Myelitis, Transverse"
DB00115,Myocardial Infarction
DB00115,Myoclonus
